Opp_Team,Opp_Team_W/L%,Opp_Winning_Record,Opp_Playoff_Team,Opp_Total_Wins,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,AvMP,AvPTS,AvRB,AvAST,Year
Atlanta,0.354,No,No,29,2,2,77,18,40,6,19,12,18,5,18,20,5,1,6,4,54,0.45,0.316,0.667,0.563,27.3,120,103,12.7,38.7,27,9,10,2019
Boston,0.598,Yes,Yes,49,2,2,66,24,44,6,15,4,12,4,22,24,3,0,6,4,58,0.545,0.4,0.333,0.588,36.2,121,119,16.4,32.8,29,11,12,2019
Brooklyn,0.512,Yes,Yes,42,2,2,78,21,48,3,14,16,25,4,22,22,2,2,13,4,61,0.438,0.214,0.64,0.517,36.9,103,109,1.2,39,30.5,11,11,2019
Chicago,0.268,No,No,22,1,1,33,15,23,2,4,4,5,1,10,4,2,0,5,2,36,0.652,0.5,0.8,0.714,40.3,120,103,12.9,33.4,36,10,4,2019
Charlotte,0.476,No,No,39,2,2,62,18,34,6,13,9,14,1,15,20,1,0,9,1,51,0.529,0.462,0.643,0.635,33.4,121,108,34.1,31.1,25.5,7.5,10,2019
Cleveland,0.232,No,No,19,1,1,36,11,20,2,6,8,12,2,14,7,0,1,4,3,32,0.55,0.333,0.667,0.633,37.6,120,106,13.4,35.5,32,14,7,2019
Dallas,0.402,No,No,33,2,2,70,23,40,4,7,7,11,2,10,10,3,1,7,6,57,0.575,0.571,0.636,0.636,30.7,116,104,9.8,34.9,28.5,5,5,2019
Denver,0.659,Yes,Yes,54,3,3,96,28,54,3,16,14,24,0,25,20,6,3,10,7,73,0.519,0.188,0.583,0.565,34.2,105,108,-9.1,32,24.3,8.3,6.7,2019
Golden State,0.695,Yes,Yes,57,1,1,21,6,11,0,2,5,8,2,13,5,1,0,2,1,17,0.545,0,0.625,0.585,34.3,122,89,10.5,21.3,17,13,5,2019
Houston,0.646,Yes,Yes,53,3,3,115,32,63,4,17,14,23,4,22,15,5,2,8,2,82,0.508,0.235,0.609,0.561,29.8,110,115,-6.6,38.5,27.3,7.3,5,2019
Indiana,0.585,Yes,Yes,48,2,2,68,22,39,4,12,8,13,1,16,16,3,0,10,3,56,0.564,0.333,0.615,0.626,34.6,109,111,1.4,34.2,28,8,8,2019
LA Clippers,0.585,Yes,Yes,48,2,2,83,18,40,2,12,13,19,1,22,15,2,1,6,3,51,0.45,0.167,0.684,0.527,28,105,108,-5.2,41.4,25.5,11,7.5,2019
Memphis,0.402,No,No,33,3,3,107,25,55,2,12,14,17,5,34,27,6,1,14,5,66,0.455,0.167,0.824,0.528,30.5,105,101,9.2,35.7,22,11.3,9,2019
Miami,0.476,No,No,39,2,2,76,29,50,10,15,11,18,1,17,15,3,1,4,3,79,0.58,0.667,0.611,0.682,34.8,139,102,25.5,38,39.5,8.5,7.5,2019
Milwaukee,0.732,Yes,Yes,60,1,1,39,10,19,3,8,8,10,2,7,10,1,0,3,2,31,0.526,0.375,0.8,0.662,28.9,131,129,-4.9,38.8,31,7,10,2019
Minnesota,0.439,No,No,36,2,2,75,21,44,6,15,5,7,4,21,17,2,4,8,3,53,0.477,0.4,0.714,0.563,29.2,116,112,-1.8,37.4,26.5,10.5,8.5,2019
New Orleans,0.402,No,No,33,3,3,115,32,61,7,19,11,23,3,25,36,8,2,8,5,82,0.525,0.368,0.478,0.576,28.7,116,105,1.9,38.2,27.3,8.3,12,2019
New York,0.207,No,No,17,1,1,35,11,26,0,6,11,13,2,6,8,0,1,2,2,33,0.423,0,0.846,0.52,38.8,119,128,12.5,35,33,6,8,2019
Orlando,0.512,Yes,Yes,42,2,2,66,16,33,5,13,9,15,0,8,14,0,2,9,4,46,0.485,0.385,0.6,0.581,31.2,105,118,-17.8,33.2,23,4,7,2019
Philadelphia,0.622,Yes,Yes,51,1,1,33,8,16,2,6,0,0,0,10,9,0,0,4,3,18,0.5,0.333,,0.563,24.7,104,135,0,33.2,18,10,9,2019
Phoenix,0.232,No,No,19,3,3,100,26,54,6,19,10,15,0,22,34,3,1,8,3,68,0.481,0.316,0.667,0.561,28.5,118,108,14.1,33.3,22.7,7.3,11.3,2019
Portland,0.646,Yes,Yes,53,3,3,105,31,55,6,15,30,35,4,27,22,2,5,13,4,98,0.564,0.4,0.857,0.696,32.3,128,110,-9.4,34.9,32.7,9,7.3,2019
Sacramento,0.476,No,No,39,2,2,67,19,40,6,12,10,12,3,18,13,3,1,7,3,54,0.475,0.5,0.833,0.596,32.1,116,92,4.9,33.3,27,9,6.5,2019
San Antonio,0.585,Yes,Yes,48,4,4,154,52,98,10,29,30,41,5,32,35,7,1,12,10,144,0.531,0.345,0.732,0.62,34.3,125,116,-1.8,38.6,36,8,8.8,2019
Toronto,0.707,Yes,Yes,58,2,2,60,18,35,3,8,8,14,0,6,12,1,1,7,5,47,0.514,0.375,0.571,0.571,33.5,102,115,-12,30,23.5,3,6,2019
Utah,0.61,Yes,Yes,50,1,1,35,8,17,2,5,4,6,1,10,7,2,1,5,1,22,0.471,0.4,0.667,0.56,30.7,102,78,17.1,35.1,22,10,7,2019
Washington,0.39,No,No,32,2,2,66,16,36,1,8,3,8,0,13,17,1,1,7,1,36,0.444,0.125,0.375,0.455,28.5,95,110,-12.3,33,18,6.5,8.5,2019
