Opp_Team,Opp_Team_W/L%,Opp_Winning_Record,Opp_Playoff_Team,Opp_Total_Wins,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,AvMP,AvPTS,AvRB,AvAST,Year
Atlanta,0.293,No,No,24,4,4,154,37,61,5,15,18,22,5,30,61,5,4,14,13,97,0.607,0.333,0.818,0.686,24.1,141,115,11.7,38.5,24.3,7.5,15.3,2018
Boston,0.671,Yes,Yes,55,3,3,102,29,54,3,12,11,14,1,31,25,2,4,10,5,72,0.537,0.25,0.786,0.598,30.5,116,97,8.2,33.9,24,10.3,8.3,2018
Brooklyn,0.341,No,No,28,4,4,152,50,81,8,17,22,30,8,38,37,4,4,14,7,130,0.617,0.471,0.733,0.69,30.7,135,113,9.9,37.9,32.5,9.5,9.3,2018
Chicago,0.329,No,No,27,4,4,151,49,84,10,23,16,21,2,28,40,9,2,14,6,124,0.583,0.435,0.762,0.665,33.1,129,109,12.3,37.6,31,7,10,2018
Charlotte,0.439,No,No,36,3,3,113,36,70,11,23,16,21,5,32,29,3,4,10,7,99,0.514,0.478,0.762,0.625,34.9,126,104,8.8,37.7,33,10.7,9.7,2018
Dallas,0.293,No,No,24,2,2,80,11,35,3,6,10,12,4,24,16,0,1,8,4,35,0.314,0.5,0.833,0.434,26.3,95,101,7.3,40.2,17.5,12,8,2018
Denver,0.561,Yes,No,46,2,2,82,23,44,6,12,12,19,2,18,25,3,0,6,4,64,0.523,0.5,0.632,0.611,32.6,128,121,1.2,40.8,32,9,12.5,2018
Detroit,0.476,No,No,39,4,4,132,35,66,11,23,14,18,3,23,36,3,2,10,6,95,0.53,0.478,0.778,0.643,28.6,127,106,14.8,32.9,23.8,5.8,9,2018
Golden State,0.707,Yes,Yes,58,2,2,76,19,36,2,9,12,20,3,14,12,3,4,15,5,52,0.528,0.222,0.6,0.58,32.4,97,109,-9.5,38.2,26,7,6,2018
Houston,0.793,Yes,Yes,65,2,2,71,18,34,2,6,6,7,1,13,16,3,2,10,4,44,0.529,0.333,0.857,0.593,30.1,103,117,-8.2,35.7,22,6.5,8,2018
Indiana,0.585,Yes,Yes,48,4,4,157,48,86,4,21,15,19,5,34,41,10,5,27,4,115,0.558,0.19,0.789,0.609,34.6,107,107,-0.9,39.3,28.8,8.5,10.3,2018
LA Clippers,0.512,Yes,No,42,2,2,85,28,46,7,16,1,7,1,24,12,2,3,11,2,64,0.609,0.438,0.143,0.652,31.8,106,107,-8.7,42.5,32,12,6,2018
LA Lakers,0.427,No,No,35,2,2,70,17,38,3,14,12,17,3,22,19,3,3,7,0,49,0.447,0.214,0.706,0.539,32.5,112,111,0.7,35.1,24.5,11,9.5,2018
Memphis,0.268,No,No,22,2,2,76,20,38,0,5,12,12,0,16,23,1,1,8,1,52,0.526,0,1,0.601,31.8,119,105,8.4,37.9,26,8,11.5,2018
Miami,0.537,Yes,Yes,44,3,3,105,25,55,2,13,11,17,5,29,18,6,1,15,3,63,0.455,0.154,0.647,0.504,32.7,92,93,4.6,34.9,21,9.7,6,2018
Milwaukee,0.537,Yes,Yes,44,4,4,148,50,87,13,26,20,25,7,26,34,9,4,19,6,133,0.575,0.5,0.8,0.679,34.9,128,113,5.4,37.1,33.3,6.5,8.5,2018
Minnesota,0.573,Yes,Yes,47,2,2,75,20,30,6,10,1,5,2,18,20,1,3,8,5,47,0.667,0.6,0.2,0.73,25,132,128,-26.9,37.5,23.5,9,10,2018
New Orleans,0.585,Yes,Yes,48,2,2,73,18,35,1,7,8,9,1,12,19,1,0,5,3,45,0.514,0.143,0.889,0.578,27.3,121,117,4.1,36.3,22.5,6,9.5,2018
New York,0.354,No,No,29,4,4,125,25,54,6,16,19,24,5,30,32,4,3,16,5,75,0.463,0.375,0.792,0.581,27.6,112,108,1.5,31.2,18.8,7.5,8,2018
Oklahoma City,0.585,Yes,Yes,48,2,2,78,22,40,3,11,8,14,0,11,15,0,2,7,3,55,0.55,0.273,0.571,0.596,30,112,131,-20.4,39.1,27.5,5.5,7.5,2018
Orlando,0.305,No,No,25,4,4,136,37,71,7,18,15,25,5,29,22,9,2,16,6,96,0.521,0.389,0.6,0.585,29.8,110,109,-11.8,34.1,24,7.3,5.5,2018
Philadelphia,0.634,Yes,Yes,52,4,4,149,50,99,11,27,23,33,8,47,38,6,1,20,3,134,0.505,0.407,0.697,0.59,39.7,115,106,-1,37.3,33.5,11.8,9.5,2018
Phoenix,0.256,No,No,21,2,2,62,18,30,2,6,17,21,0,18,20,4,3,9,5,55,0.6,0.333,0.81,0.701,31,130,87,23.4,31.2,27.5,9,10,2018
Portland,0.598,Yes,Yes,49,2,2,75,25,42,1,6,8,13,1,20,14,6,4,9,6,59,0.595,0.167,0.615,0.618,35.1,112,104,-2,37.5,29.5,10,7,2018
Sacramento,0.329,No,No,27,2,2,79,18,35,5,10,7,11,4,21,23,8,2,11,2,48,0.514,0.5,0.636,0.602,31.2,110,101,-5.9,39.4,24,10.5,11.5,2018
San Antonio,0.573,Yes,Yes,47,2,2,78,24,48,4,11,9,14,4,22,16,1,1,11,3,61,0.5,0.364,0.643,0.563,37.3,105,116,-11.5,39,30.5,11,8,2018
Toronto,0.72,Yes,Yes,59,3,3,109,28,49,4,10,28,35,1,20,24,2,2,7,5,88,0.571,0.4,0.8,0.683,30.5,138,127,0.9,36.3,29.3,6.7,8,2018
Utah,0.585,Yes,Yes,48,2,2,74,21,37,2,11,14,15,1,19,16,3,1,11,3,58,0.568,0.182,0.933,0.665,34.2,116,107,-3.4,37.1,29,9.5,8,2018
Washington,0.524,Yes,Yes,43,4,4,159,56,95,7,22,23,31,10,40,44,5,3,19,10,142,0.589,0.318,0.742,0.654,36.6,126,113,3.9,39.9,35.5,10,11,2018
