Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs?
Milwaukee,60,22,0.732,118.1,109.3,8.04,Yes
Toronto,58,24,0.707,114.4,108.4,5.49,Yes
Philadelphia,51,31,0.622,115.2,112.5,2.25,Yes
Boston,49,33,0.598,112.4,108,3.9,Yes
Indiana,48,34,0.585,108,104.7,2.76,Yes
Brooklyn,42,40,0.512,112.2,112.3,-0.4,Yes
Orlando,42,40,0.512,107.3,106.6,0.28,Yes
Detroit,41,41,0.5,107,107.3,-0.56,Yes
Charlotte,39,43,0.476,110.7,111.8,-1.32,No
Miami,39,43,0.476,105.7,105.9,-0.45,No
Washington,32,50,0.39,114,116.9,-3.3,No
Atlanta,29,53,0.354,113.3,119.4,-6.06,No
Chicago,22,60,0.268,104.9,113.4,-8.32,No
Cleveland,19,63,0.232,104.5,114.1,-9.39,No
New York,17,65,0.207,104.6,113.8,-8.93,No
Golden State,57,25,0.695,117.7,111.2,6.42,Yes
Denver,54,28,0.659,110.7,106.7,4.19,Yes
Portland,53,29,0.646,114.7,110.5,4.43,Yes
Houston,53,29,0.646,113.9,109.1,4.96,Yes
Utah,50,32,0.61,111.7,106.5,5.28,Yes
Oklahoma City,49,33,0.598,114.5,111.1,3.56,Yes
San Antonio,48,34,0.585,111.7,110,1.8,Yes
LA Clippers,48,34,0.585,115.1,114.3,1.09,Yes
Sacramento,39,43,0.476,114.2,115.3,-0.81,No
LA Lakers,37,45,0.451,111.8,113.5,-1.33,No
Minnesota,36,46,0.439,112.5,114,-1.02,No
Memphis,33,49,0.402,103.5,106.1,-2.08,No
New Orleans,33,49,0.402,115.4,116.8,-1.1,No
Dallas,33,49,0.402,108.9,110.1,-0.87,No
Phoenix,19,63,0.232,107.5,116.8,-8.61,No
