Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs?
Toronto,59,23,0.72,111.7,103.9,7.29,Yes
Boston,55,27,0.671,104,100.4,3.23,Yes
Philadelphia,52,30,0.634,109.8,105.3,4.3,Yes
Cleveland,50,32,0.61,110.9,109.9,0.59,Yes
Indiana,48,34,0.585,105.6,104.2,1.18,Yes
Miami,44,38,0.537,103.4,102.9,0.15,Yes
Milwaukee,44,38,0.537,106.5,106.8,-0.45,Yes
Washington,43,39,0.524,106.6,106,0.53,Yes
Detroit,39,43,0.476,103.8,103.9,-0.26,No
Charlotte,36,46,0.439,108.2,108,0.07,No
New York,29,53,0.354,104.5,108,-3.53,No
Brooklyn,28,54,0.341,106.6,110.3,-3.67,No
Chicago,27,55,0.329,102.9,110,-6.84,No
Orlando,25,57,0.305,103.4,108.2,-4.92,No
Atlanta,24,58,0.293,103.4,108.8,-5.3,No
Houston,65,17,0.793,112.4,103.9,8.21,Yes
Golden State,58,24,0.707,113.5,107.5,5.79,Yes
Portland,49,33,0.598,105.6,103,2.6,Yes
Oklahoma City,48,34,0.585,107.9,104.4,3.42,Yes
Utah,48,34,0.585,104.1,99.8,4.47,Yes
New Orleans,48,34,0.585,111.7,110.4,1.48,Yes
San Antonio,47,35,0.573,102.7,99.8,2.89,Yes
Minnesota,47,35,0.573,109.5,107.3,2.35,Yes
Denver,46,36,0.561,110,108.5,1.57,No
LA Clippers,42,40,0.512,109,109,0.15,No
LA Lakers,35,47,0.427,108.1,109.6,-1.44,No
Sacramento,27,55,0.329,98.8,105.8,-6.6,No
Dallas,24,58,0.293,102.3,105.4,-2.7,No
Memphis,22,60,0.268,99.3,105.5,-5.81,No
Phoenix,21,61,0.256,103.9,113.3,-8.8,No
