Month,G_2019,USGpct_2019,AvPTS_2019,AvRB_2019,AvAST_2019,TotPtsRebAst_2019,G_2017,USGpct_2017,AvPTS_2017,AvRB_2017,AvAST_2017,TotPtsRebAst_2017,G_2018,USGpct_2018,AvPTS_2018,AvRB_2018,AvAST_2018,TotPtsRebAst_2018
October,8,29.5,27.8,8.6,8,44.4,3,26.1,21,8.3,10,39.3,7,27,24.6,7.1,8.6,40.3
November,14,33.1,28.3,7.4,5.8,41.5,12,29.7,24.2,8,9.3,41.5,15,31.3,29.6,8.7,8.5,46.8
December,12,30.9,25.8,9.3,8.2,43.3,14,31.6,27.9,7.6,7.9,43.4,14,33.3,27.5,8.2,10.3,46
January,1,30.9,24,14,9,47,15,29.3,25.7,8.3,8.1,42.1,14,30.6,23.5,7.3,7.4,38.2
February,8,29.1,25.6,9.6,10.6,45.8,10,27.5,25.9,7.2,10.6,43.7,10,30.6,27,10.5,10.5,48
March,12,35.1,29,7.6,9.8,46.4,15,32.4,27.5,10.4,8.1,46,16,33.8,30.9,9.6,9.5,50
April,0,0,0,0,0,0,5,29.1,28.6,7.5,10,46.1,6,34.3,26,9,9.3,44.3
